"r1","r2","r3","r4","r5","unit"
0,0,0,0,0,"how do I cite two authors in apa standard"
0,0,0,0,0,"Wie zitiere ich zwei Autoren nach APA-Standard?"
0,0,0,0,0,"Nein."
1,1,0,0,1,"zeig es mir!"
0,1,0,0,0,"Spezielle Regel nach APA, wenn auf Angaben mit drei Autoren das zweite Mal verwiesen wird?"
1,1,0,0,1,"Nein, zeig es mir!"
0,0,0,0,0,"Quelle von direkten Zitaten mit APA angeben."
1,1,0,0,1,"Nein, zeig es mir."
0,0,0,0,0,"Wird nicht der Name des Buches angegeben?"
0,0,0,0,0,"Welche Arten von Quellen gibt es außerhalb von Büchern?"
0,0,0,0,0,"Ein Buch nach APA im Quellenverzeichnis angeben."
0,0,0,0,0,"Wo wird DOI angegeben?"
0,0,0,0,0,"Nur bestimmte Seiten angeben."
0,0,0,0,0,"Gebe ich den Sitz des Verlages an?"
0,0,0,0,0,"Beispiel für Quellenangabe eines Artikels aus Fachzeitschrift in APA Stil"
0,0,0,0,0,"APA Abkürzungen für: Stichprobengröße:"
0,0,0,0,0,"Mittelwert:"
0,0,0,0,0,"Median:"
0,0,0,0,0,"Standardabweichung"
0,0,0,0,0,"t-Wert:"
0,0,0,0,0,"Angabe Wahrscheinlichkeit:"
0,0,0,0,0,"Freiheitsgrade:"
